Input,Term,mean_hetesim_score,count,term_uniID
ANGPT2,angiogenesis,0.598166722,8,angiogenesis
ANGPT2,angiogenesis,0.598166722,8,angiogenesis
ANGPT2,collagen-containing extracellular matrix,0.598166722,8,ECM component
ANGPT2,glomerulus vasculature development,0.598166722,8,glomerulus development
ANGPT2,negative regulation of angiogenesis,0.598166722,8,angiogenesis
ANGPT2,negative regulation of blood vessel endothelial cell migration,0.598166722,8,cell migration
ANGPT2,negative regulation of cell-substrate adhesion,0.598166722,8,cell adhesion
ANGPT2,negative regulation of positive chemotaxis,0.598166722,8,chemotaxis
ANGPT2,positive regulation of angiogenesis,0.598166722,8,angiogenesis
ANGPT2,regulation of angiogenesis,0.598166722,8,angiogenesis
ANGPT2,vascular endothelial growth factor receptor binding,0.598166722,8,growth factor signaling
ANXA7,autophagy,0.561385621,8,autophagy
ANXA7,calcium-dependent phospholipid binding,0.561385621,8,calcium channel activity
ANXA7,calcium-dependent protein binding,0.561385621,8,calcium channel activity
ANXA7,calcium ion binding,0.561385621,8,calcium channel activity
ANXA7,collagen-containing extracellular matrix,0.561385621,8,ECM component
ANXA7,intracellular calcium ion homeostasis,0.561385621,8,calcium channel activity
ANXA7,response to calcium ion,0.561385621,8,calcium channel activity
CCL1,antimicrobial humoral immune response mediated by antimicrobial peptide,0.583627953,12,immune response
CCL1,CCR chemokine receptor binding,0.583627953,12,chemotaxis
CCL1,cellular response to interleukin-1,0.583627953,12,cell response to cytokines
CCL1,cellular response to interleukin-17,0.583627953,12,cell response to cytokines
CCL1,chemokine activity,0.583627953,12,chemotaxis
CCL1,chemokine activity,0.583627953,12,chemotaxis
CCL1,chemokine-mediated signaling pathway,0.583627953,12,chemotaxis
CCL1,chemotaxis,0.583627953,12,chemotaxis
CCL1,cytokine activity,0.583627953,12,cell response to cytokines
CCL1,eosinophil chemotaxis,0.583627953,12,chemotaxis
CCL1,immune response,0.583627953,12,immune response
CCL1,inflammatory response,0.583627953,12,inflammatory response
CCL1,lymphocyte chemotaxis,0.583627953,12,chemotaxis
CCL1,monocyte chemotaxis,0.583627953,12,chemotaxis
CCL1,neutrophil chemotaxis,0.583627953,12,chemotaxis
CCL1,positive regulation of cytosolic calcium ion concentration,0.583627953,12,calcium channel activity
CCL1,positive regulation of ERK1 and ERK2 cascade,0.583627953,12,ERK/MAPK signaling response
CCL1,positive regulation of inflammatory response,0.583627953,12,inflammatory response
CCL1,positive regulation of interleukin-17 production,0.583627953,12,cell response to cytokines
CCL1,positive regulation of monocyte chemotaxis,0.583627953,12,chemotaxis
CCL22,antimicrobial humoral immune response mediated by antimicrobial peptide,0.553272043,8,immune response
CCL22,CCR chemokine receptor binding,0.553272043,8,chemotaxis
CCL22,cellular response to interleukin-1,0.553272043,8,cell response to cytokines
CCL22,chemokine activity,0.553272043,8,chemotaxis
CCL22,chemokine-mediated signaling pathway,0.553272043,8,chemotaxis
CCL22,chemotaxis,0.553272043,8,chemotaxis
CCL22,cytokine activity,0.553272043,8,cell response to cytokines
CCL22,eosinophil chemotaxis,0.553272043,8,chemotaxis
CCL22,immune response,0.553272043,8,immune response
CCL22,inflammatory response,0.553272043,8,inflammatory response
CCL22,lymphocyte chemotaxis,0.553272043,8,chemotaxis
CCL22,monocyte chemotaxis,0.553272043,8,chemotaxis
CCL22,neutrophil chemotaxis,0.553272043,8,chemotaxis
CCL22,positive regulation of ERK1 and ERK2 cascade,0.553272043,8,ERK/MAPK signaling response
CD226,cell adhesion,0.557081132,12,cell adhesion
CD226,cell adhesion molecule binding,0.557081132,12,cell adhesion
CD226,cytokine production,0.557081132,12,cell response to cytokines
CD226,cytokine production,0.557081132,12,cell response to cytokines
CD226,natural killer cell cytokine production,0.557081132,12,cell response to cytokines
CD226,positive regulation of immunoglobulin mediated immune response,0.557081132,12,immune response
CD226,positive regulation of immunoglobulin mediated immune response,0.557081132,12,immune response
CD226,positive regulation of mast cell activation,0.557081132,12,T cell mediated response
CD226,positive regulation of mast cell activation,0.557081132,12,T cell mediated response
CD226,positive regulation of natural killer cell cytokine production,0.557081132,12,cell response to cytokines
CD226,positive regulation of natural killer cell cytokine production,0.557081132,12,cell response to cytokines
CD226,positive regulation of T cell receptor signaling pathway,0.557081132,12,T cell mediated response
CD226,positive regulation of T cell receptor signaling pathway,0.557081132,12,T cell mediated response
CD80,immune response,0.533585031,8,immune response
CD80,negative regulation of T cell mediated immunity,0.533585031,8,T cell mediated response
CD80,negative regulation of T cell proliferation,0.533585031,8,T cell mediated response
CD80,positive regulation of alpha-beta T cell proliferation,0.533585031,8,T cell mediated response
CD80,positive regulation of T cell proliferation,0.533585031,8,T cell mediated response
CD80,positive regulation of T cell proliferation,0.533585031,8,T cell mediated response
CD80,positive regulation of T cell proliferation,0.533585031,8,T cell mediated response
CD80,protein complex involved in cell adhesion,0.533585031,8,cell adhesion
CD80,T cell activation,0.533585031,8,T cell mediated response
CD80,T cell costimulation,0.533585031,8,T cell mediated response
CD80,T cell costimulation,0.533585031,8,T cell mediated response
CREG1,autophagy,0.653876499,8,autophagy
CREG1,insulin-like growth factor receptor binding,0.653876499,8,growth factor signaling
CTLA4,adaptive immune response,0.598067711,8,immune response
CTLA4,immune response,0.598067711,8,immune response
CTLA4,immune system process,0.598067711,8,immune response
CTLA4,negative regulation of regulatory T cell differentiation,0.598067711,8,T cell mediated response
CTLA4,negative regulation of regulatory T cell differentiation,0.598067711,8,T cell mediated response
CTLA4,negative regulation of T cell proliferation,0.598067711,8,T cell mediated response
CTLA4,positive regulation of apoptotic process,0.598067711,8,apoptotic process
CTLA4,protein complex involved in cell adhesion,0.598067711,8,cell adhesion
CTLA4,regulation of T cell proliferation,0.598067711,8,T cell mediated response
CTLA4,T cell receptor signaling pathway,0.598067711,8,T cell mediated response
DSPP,cellular response to cell-matrix adhesion,0.56627109,8,cell adhesion
DSPP,collagen-containing extracellular matrix,0.56627109,8,ECM component
DSPP,extracellular matrix,0.56627109,8,ECM component
DSPP,gene expression involved in extracellular matrix organization,0.56627109,8,ECM component
DSPP,negative regulation of mesenchymal cell apoptotic process,0.56627109,8,apoptotic process
DSPP,positive regulation of calcium ion import,0.56627109,8,calcium channel activity
DUSP5,negative regulation of MAPK cascade,0.538327636,8,ERK/MAPK signaling response
EGFR,cell-cell adhesion,0.531664798,8,cell adhesion
EGFR,cellular response to epidermal growth factor stimulus,0.531664798,8,growth factor signaling
EGFR,cellular response to growth factor stimulus,0.531664798,8,growth factor signaling
EGFR,cerebral cortex cell migration,0.531664798,8,cell migration
EGFR,epidermal growth factor binding,0.531664798,8,growth factor signaling
EGFR,epidermal growth factor binding,0.531664798,8,growth factor signaling
EGFR,epidermal growth factor binding,0.531664798,8,growth factor signaling
EGFR,epidermal growth factor receptor activity,0.531664798,8,growth factor signaling
EGFR,epidermal growth factor receptor activity,0.531664798,8,growth factor signaling
EGFR,epidermal growth factor receptor activity,0.531664798,8,growth factor signaling
EGFR,epidermal growth factor receptor activity,0.531664798,8,growth factor signaling
EGFR,epidermal growth factor receptor activity,0.531664798,8,growth factor signaling
EGFR,epidermal growth factor receptor signaling pathway,0.531664798,8,growth factor signaling
EGFR,epidermal growth factor receptor signaling pathway,0.531664798,8,growth factor signaling
EGFR,epidermal growth factor receptor signaling pathway,0.531664798,8,growth factor signaling
EGFR,epidermal growth factor receptor signaling pathway,0.531664798,8,growth factor signaling
EGFR,negative regulation of apoptotic process,0.531664798,8,apoptotic process
EGFR,negative regulation of apoptotic process,0.531664798,8,apoptotic process
EGFR,nitric-oxide synthase regulator activity,0.531664798,8,response to nitric oxide
EGFR,positive regulation of canonical Wnt signaling pathway,0.531664798,8,Wnt/beta-catenin pathway
EGFR,positive regulation of cell migration,0.531664798,8,cell migration
EGFR,positive regulation of cell population proliferation,0.531664798,8,cell proliferation
EGFR,positive regulation of ERK1 and ERK2 cascade,0.531664798,8,ERK/MAPK signaling response
EGFR,positive regulation of MAPK cascade,0.531664798,8,ERK/MAPK signaling response
EGFR,positive regulation of NIK/NF-kappaB signaling,0.531664798,8,NF-kappaB factor activity
EGFR,positive regulation of nitric oxide mediated signal transduction,0.531664798,8,response to nitric oxide
