,Targets,Target names,sn_types,sn_search_depth,hetesim_metapath_length,num_sn
0,"['C0596620', 'C0019477', 'C1265831', 'C0035096']","['glucose metabolism', 'Hexosamine', 'Interstitial inflammation', 'Renin-angiotensin system']",[],2,3,1000
1,"['C0596620', 'C0019477', 'C3537282', 'C3271539']","['glucose metabolism', 'Hexosamine', 'Plasmalemma Vesicle-Associated Protein', 'Name not found']",[],2,3,1000
2,"['C0596620', 'C0019477', 'C1518770', 'C1523335']","['glucose metabolism', 'Hexosamine', 'Name not found', 'lipopolysaccharide receptor activity']",[],2,3,1000
3,"['C0596620', 'C0019477', 'C0232809', 'C0268790']","['glucose metabolism', 'Hexosamine', 'Glomerular filtration', 'Renal vascular disorder']",[],2,3,1000
4,"['C0019477', 'C2754097', 'C3158808', 'C0154260']","['Hexosamine', 'NADPH oxidation', 'renal glucose absorption', 'Disorder of mineral metabolism']",[],2,3,223
5,"['C0019477', 'C2754097', 'C0081939', 'C1523829']","['Hexosamine', 'NADPH oxidation', 'CD31 Antigens', 'vascular endothelial growth factor receptor 1 binding']",[],2,3,1000
6,"['C0019477', 'C2754097', 'C5450572', 'C1523335']","['Hexosamine', 'NADPH oxidation', 'interleukin-1 beta secretion', 'lipopolysaccharide receptor activity']",[],2,3,1000
7,"['C0019477', 'C2754097', 'C0020544', 'C1565489']","['Hexosamine', 'NADPH oxidation', 'Renal hypertension', 'Renal Insufficiency']",[],2,3,1000
8,"['C0021655', 'C0019477', 'C0006560', 'C0035096']","['Insulin Resistance', 'Hexosamine', 'C-reactive protein', 'Renin-angiotensin system']",[],2,3,1000
9,"['C0021655', 'C0019477', 'C3537282', 'C0206117']","['Insulin Resistance', 'Hexosamine', 'Plasmalemma Vesicle-Associated Protein', 'Gap Junctions']",[],2,3,1000
10,"['C0021655', 'C0019477', 'C1515844', 'C0024426']","['Insulin Resistance', 'Hexosamine', 'AKT Signaling Pathway', 'Macrophage Activation']",[],2,3,1000
11,"['C0021655', 'C0019477', 'C0232810', 'C1565489']","['Insulin Resistance', 'Hexosamine', 'Glomerular membrane permeability', 'Renal Insufficiency']",[],2,3,1000
12,"['C2754097', 'C3546691', 'C3273807', 'C1265831']","['NADPH oxidation', 'Name not found', 'Sodium-Glucose Transporter 2 Inhibitors', 'Interstitial inflammation']",[],2,3,1000
13,"['C2754097', 'C3546691', 'C0282625', 'C3537282']","['NADPH oxidation', 'Name not found', 'src-Family Kinases', 'Plasmalemma Vesicle-Associated Protein']",[],2,3,1000
14,"['C2754097', 'C3546691', 'C4327687', 'C3158849']","['NADPH oxidation', 'Name not found', 'macrophage migration', 'Toll-like receptor 4 binding']",[],2,3,1000
15,"['C2754097', 'C3546691', 'C0178664', 'C0232809']","['NADPH oxidation', 'Name not found', 'Glomerulosclerosis (disorder)', 'Glomerular filtration']",[],2,3,1000
16,"['C0596620', 'C0021655', 'C0006560', 'C3273807']","['glucose metabolism', 'Insulin Resistance', 'C-reactive protein', 'Sodium-Glucose Transporter 2 Inhibitors']",[],2,3,1000
17,"['C0596620', 'C0021655', 'C0206117', 'C0063695']","['glucose metabolism', 'Insulin Resistance', 'Gap Junctions', 'Intercellular adhesion molecule 1']",[],2,3,1000
18,"['C0596620', 'C0021655', 'C1518770', 'C0063695']","['glucose metabolism', 'Insulin Resistance', 'Name not found', 'Intercellular adhesion molecule 1']",[],2,3,1000
19,"['C0596620', 'C0021655', 'C0024143', 'C0232809']","['glucose metabolism', 'Insulin Resistance', 'Lupus Nephritis', 'Glomerular filtration']",[],2,3,1000
20,"['C0002003', 'C1325419', 'C3273807', 'C0006560']","['Aldehyde Reductase', 'advanced glycation end-product receptor activity', 'Sodium-Glucose Transporter 2 Inhibitors', 'C-reactive protein']",[],2,3,1000
21,"['C0002003', 'C1325419', 'C0282625', 'C0054953']","['Aldehyde Reductase', 'advanced glycation end-product receptor activity', 'src-Family Kinases', 'CD34 Antigens']",[],2,3,1000
